"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,100.2,14.9,100.2,5.28595238095238,2.29911991443517,43.5818938241925,0,95.6938077715683,104.706192228432
"Lee et al., 2016","B-QT",48,99.6,15,99.6,4.6875,2.1650635094611,46.0032694490294,0,95.3565534972143,103.843446502786
"Horteur et al., 2022","B-QT",25,95,11,95,4.84,2.2,43.1818181818182,0,90.6880792340119,99.3119207659881
"Guney-Deniz et al., 2020","B-QT",22,95.1,15.5,95.1,10.9204545454545,3.30461110351196,28.7779702425296,4.0474858243095e-182,88.6230812542054,101.576918745795
"Johnston et al., 2022","S-QT",33,100,15.2,100,7.00121212121212,2.64598037052661,37.7931753061712,0,94.8139737699679,105.186026230032
"Johnston et al., 2021","S-QT",34,98.14,24.58,98.14,17.7698941176471,4.21543522280287,23.2811073620878,6.88924199822741e-120,89.8778987841448,106.402101215855
