"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,83.4,13.4,83.4,4.2752380952381,2.06766488949203,40.3353562871056,0,79.3474512844976,87.4525487155024
"Lee et al., 2016","B-QT",48,83.8,17.8,83.8,6.60083333333333,2.56920869789383,32.6170466683757,2.35112940725691e-233,78.764443483361,88.835556516639
"Lee et al., 2004","B-QT",14,89,8,89,4.57142857142857,2.1380899352994,41.6259384278601,0,84.8094207311056,93.1905792688944
"Kwak et al., 2018","B-QT",45,86,21.78,86,10.54152,3.2467707033297,26.4878575847082,1.33763960792673e-154,79.636446355414,92.363553644586
"Horteur et al., 2022","B-QT",25,72,15,72,9,3,24,2.78078423709941e-127,66.1201080463798,77.8798919536202
"Hofer et al., 2022","B-QT",31,81.5,12.3,81.5,4.88032258064516,2.20914521492933,36.8920972008656,6.18679799299793e-298,77.1701549421195,85.8298450578805
"Han et al., 2008","B-QT",19,89,8,89,3.36842105263158,1.83532587096449,48.49275074689,0,85.402827393015,92.597172606985
"Guney-Deniz et al., 2020","B-QT",22,84.7,8.4,84.7,3.20727272727273,1.79088601738713,47.2950255782196,0,81.1899279055049,88.2100720944951
"Johnston et al., 2022","S-QT",33,88.8,10.8,88.8,3.53454545454546,1.88003868432154,47.2330706493127,0,85.1151918891877,92.4848081108123
"Johnston et al., 2021","S-QT",34,77.1,16.57,77.1,8.07543823529412,2.84173155581137,27.1313452681094,4.20385542516204e-162,71.5303084968787,82.6696915031213
"Hunnicutt et al., 2019","S-QT",15,73.93,22.8,73.93,34.656,5.88693468623527,12.5583183677682,3.57857766940277e-36,62.3918200356393,85.4681799643607
