"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,72.1,12.7,72.1,3.8402380952381,1.95965254451857,36.7922365634021,2.457233862437e-296,68.2591515905313,75.9408484094687
"Schwery et al., 2022","B-QT",17,77,19,77,21.2352941176471,4.60817687569033,16.7094280617137,1.1190366067189e-62,67.9681392892567,86.0318607107433
"Lee et al., 2007a","B-QT",137,84.7,21.11,84.7,3.25278905109489,1.80354901544008,46.9629598502109,0,81.1651088853848,88.2348911146152
"Kaarre et al., 2023","B-QT",36,84.94,15.6,84.94,6.76,2.6,32.6692307692308,4.27349683795431e-234,79.8440936401959,90.0359063598041
"Chen et al., 2006","B-QT",34,91.65,8.09,91.65,1.92494411764706,1.3874235538029,66.0576935924069,0,88.9306998032438,94.3693001967563
"Letter et al., 2019","S-QT",17,88.39,16.16,88.39,15.3615058823529,3.91937570058714,22.5520610302194,1.28175165190236e-112,80.7081647849678,96.0718352150322
"Iriuchishima et al., 2017","S-QT",20,85.1,12.6,85.1,7.938,2.81744565164973,30.2046642674972,2.05703580023149e-200,79.5779079943675,90.6220920056325
"Hunnicutt et al., 2019","S-QT",15,68.96,22.54,68.96,33.8701066666667,5.81980297490101,11.8491983830729,2.17259105726821e-32,57.5533957720749,80.366604227925
"Hughes et al., 2019","S-QT",29,83.3,20.7,83.3,14.7755172413793,3.84389350026497,21.6707356731548,3.87515277427598e-104,75.766107179073,90.8338928209269
