"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,96.6,15.8,96.6,5.94380952380952,2.43799292940105,39.6227564219113,0,91.8216216638106,101.378378336189
"Kaarre et al., 2023","B-QT",36,97.67,16.43,97.67,7.49846944444444,2.73833333333333,35.6676810712112,1.25369915211192e-278,92.3029652890012,103.037034710999
"Chen et al., 2006","B-QT",34,90.18,8.59,90.18,2.17023823529412,1.47317284637415,61.2148127912863,0,87.2926342781043,93.0673657218957
"Iriuchishima et al., 2017","S-QT",20,96.7,13.8,96.7,9.522,3.08577380894971,31.3373584672797,1.44651775703218e-215,90.6519944700216,102.748005529978
"Hughes et al., 2019","S-QT",29,99.8,20.1,99.8,13.9313793103448,3.73247629735874,26.7382809826877,1.69002469292635e-157,92.4844808840274,107.115519115973
