"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Setliff et al., 2023","B-QT",10,9.3,7.1,9.3,5.041,2.24521713871955,4.14213834360083,3.44082679459289e-05,4.89945527063761,13.7005447293624
"Irrgang et al., 2021","B-QT",51,12.08,4.02,12.08,0.316870588235294,0.56291259377926,21.4598147802979,3.69773713182671e-102,10.9767115897486,13.1832884102514
"Herman et al., 2023","B-QT",14,11.8,4.6,11.8,1.51142857142857,1.22940171279715,9.5981646008549,8.13806155459988e-22,9.39041692038573,14.2095830796143
"Zhou et al., 2023","S-QT",107,7.93,0.57,7.93,0.00303644859813084,0.0551039798756028,143.90975058248,0,7.821998184039,8.038001815961
"Setliff et al., 2023","S-QT",121,11.6,5,11.6,0.206611570247934,0.454545454545455,25.52,1.18256389815798e-143,10.7091072797545,12.4908927202455
"Panos et al., 2021","S-QT",23,10.7,5.1,10.7,1.13086956521739,1.06342351169108,10.0618426077345,8.14592319761794e-24,8.61572821677237,12.7842717832276
"Johnston et al., 2022","S-QT",32,10.9,4.5,10.9,0.6328125,0.795495128834866,13.7021580709927,9.85510181109408e-43,9.34085819760661,12.4591418023934
"Johnston et al., 2021","S-QT",36,7.5,4.3,7.5,0.513611111111111,0.716666666666667,10.4651162790698,1.24923065130311e-25,6.09535914441296,8.90464085558704
"Hogan et al., 2022","S-QT",19,9.6,4.9,9.6,1.26368421052632,1.12413709596575,8.53988364448785,1.34357057810849e-17,7.39673177822168,11.8032682217783
